row_index,video_id,question,answer,pred_answer,task,correct,score,raw_judgment
17,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cut the tomatoes into smaller pieces.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
18,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level, as indicated by the stove's control panel.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
19,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a spatula and a fork to mix the ingredients on the cutting board.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
20,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,Yes,Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
21,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, the person is seen holding a knife and cutting a tomato on the cutting board before operating the heat regulator on the cooker.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
22,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes,Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
23,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, after cutting vegetables, the hands are seen wrapping sauce in flat bread, which is a common step in preparing a dish like enchiladas.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
24,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"Yes, the person opens the cabinet before chopping the vegetables.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
25,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,"Just before wrapping the sauce in flat bread, the person places the tomato halves on the cutting board and starts slicing them.",What event order,yes,4,"{""correct"": ""yes"", ""score"": 4}"
26,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"A person is seen opening the oven door, revealing the interior of the oven, and then turning on the heat regulator.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
27,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The setting shown in this video clip is a kitchen.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
28,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with tomatoes?,Cutting tomatoes.,The task being performed with tomatoes is transferring them from a container to a frying pan on the stove.,Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
29,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an electronic device being used in this scene?,"Yes, a mobile phone.",Yes.,Scene Summary,no,2,"{""correct"": ""no"", ""score"": 2}"
30,9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the sauce being utilized in the cooking process?,By spreading it on flatbreads.,"The sauce is being poured over the rolled tortillas, which are being prepared for the next step in the cooking process.",Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
31,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is occurring aside from food preparation?,Operating a mobile phone.,"Aside from food preparation, there is a person holding a red object, possibly a container or a piece of food, and another person holding a white plate with a tortilla.",Action Caption,no,0,"{""correct"": ""no"", ""score"": 0}"
32,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What manual task is depicted involving food items?,"Cutting vegetables, specifically tomatoes.","The manual task depicted involves the person placing tortillas into a pan filled with a mixture of meat and vegetables, which is being cooked on the stove.",Action Caption,no,0,"{""correct"": ""no"", ""score"": 0}"
33,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is someone chopping vegetables in the video?,Yes.,"Yes, someone is chopping vegetables on the counter in the kitchen.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
34,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the sauce being poured into a bowl?,"No, it's being rolled in flatbreads.","No, the sauce is being poured into a pan on the stove.",Whether Something Happened(Y/N),no,1,"{""correct"": ""no"", ""score"": 1}"
35,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is a cooking activity happening in a bedroom?,"No, it's happening in a kitchen.","No, the kitchen is not in a bedroom; it is a well-equipped kitchen in a home.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
36,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the frame capture the act of grilling or frying?,No.,"No, the frame captures the act of grilling or frying, as the person is seen holding a tortilla with a spatula, indicating the preparation of a dish that involves grilling or frying.",Whether Something Happened(Y/N),no,1,"{""correct"": ""no"", ""score"": 1}"
37,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, are vegetables cut before the heat regulator is operated?",Yes,"Yes, the vegetables are cut before the heat regulator is operated.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
38,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does rolling sauce in flatbreads occur after cutting tomatoes?,Yes,"Yes, after cutting tomatoes, the rolling sauce in flatbreads is added to the pan.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
39,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the opening of the drawers happen before using the mobile phone?,No,"Yes, the opening of the drawers happens before using the mobile phone.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
40,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the heat regulator operated before rolling sauce in flatbreads?,No,"Yes, the heat regulator is turned on before rolling sauce in flatbreads.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
41,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before rolling sauce in flatbreads?,Cutting tomatoes with a knife.,"Just before rolling sauce in flatbreads, the person places a tortilla on the pan and starts to roll it.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
42,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before operating the heat regulator?,Cutting vegetables with knives.,"Just before operating the heat regulator, the person places the tortilla on the counter and adjusts the position of the pot on the stove.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
43,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done just before opening drawers in the kitchen?,Operating the heat regulator of the cooker.,"Just before opening drawers, the person is seen holding a plate with rolled tortillas, ready to be filled with the filling.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
44,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity occurs just before operating a mobile phone?,Rolling sauce in flatbreads.,"Just before operating a mobile phone, the person is seen holding a tortilla, preparing to wrap it with the filling.",What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
45,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before the vegetables are chopped?,No,"Yes, the cabinet is opened before the vegetables are chopped.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
46,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does operating the heat regulator happen after chopping vegetables?,Yes,"Yes, the person is seen operating the heat regulator while chopping vegetables, indicating that they are in the process of cooking.",Order Judging(Y/N),no,2,"{""correct"": ""no"", ""score"": 2}"
47,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is wrapping sauce in flat bread before cutting vegetables?,No,"Yes, wrapping sauce is in the flat bread before cutting vegetables.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
48,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I use the mobile phone before opening drawers?,Yes,"Yes, you use the mobile phone before opening drawers.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
49,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before the cabinet is opened in the video?,Chopping vegetables,"Just before the cabinet is opened, the person is seen holding a red object, possibly a container or a piece of food, and appears to be preparing to open the cabinet.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
50,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs immediately before operating the heat regulator?,Cutting vegetables with knives,"A person with red nail polish is seen holding a red object, possibly a container or a piece of food, and appears to be adjusting the heat regulator.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
51,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What do I do right before rolling sauce in flat breads?,Cutting tomatoes,You should roll the sauce in the flat breads.,What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
52,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What action takes place just before using the mobile phone?,Rolling sauce in flat breads,"Just before using the mobile phone, the person is seen holding a tortilla, preparing to place it into the pan.",What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
53,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done directly before opening drawers in the kitchen?,Operating the heat regulator.,"The person is seen holding a tortilla, preparing to open drawers in the kitchen.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
54,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the setting of the latest video frame?,A kitchen.,"The setting of the latest video frame is a kitchen with a counter and a sink, where the person is preparing food.",Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
55,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be seen on the stove in the video clip?,A pan with shawarma filling and bread.,"On the stove, there are two tortillas, a pot of chili, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of chopped red onions, a bowl of chopped tomatoes, a bowl of chopped green herbs, a bowl of chopped red onions, a bowl of chopped green onions, a bowl of",Scene Summary,no,0,"{""correct"": ""no"", ""score"": 0}"
56,9198b9a4-8d8f-4ba6-9924-4c86982d890a,How many pans are on the stove in the video?,Two pans.,There are two pans on the stove in the video.,Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
57,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What objects are visible on the kitchen counter in the video?,Ingredients and utensils.,"On the kitchen counter, there are a knife, a cutting board with chopped green onions, a bowl of chopped tomatoes, a plate with chopped green onions, a plate with chopped tomatoes, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate with rolled tortillas, a plate",Scene Summary,yes,4,"{""correct"": ""yes"", ""score"": 4}"
58,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What cooking process is happening in the new frames?,Shawarma filling is being prepared.,"The new frames show the person preparing tortillas, adding ingredients to them, and then cooking them in a pan.",Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
59,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What action was the cook performing?,Adding bread to the shawarma filling.,"The cook was preparing food, specifically rolling tortillas and adding ingredients to them.",Action Caption,no,2,"{""correct"": ""no"", ""score"": 2}"
60,9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the cook interacting with the food?,By stirring and combining ingredients.,"The cook is actively involved in the cooking process, using utensils and ingredients to prepare the food.",Action Caption,no,2,"{""correct"": ""no"", ""score"": 2}"
61,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Describe the cook's technique in the video clip.,Carefully scooping and spreading filling onto bread.,"The cook demonstrates a methodical approach to preparing the food, starting with the preparation of tortillas, followed by the cooking of the filling in a skillet. The video captures the meticulous steps involved in making the dish, highlighting the use of various kitchen tools and ingredients.",Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
62,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there more than one dish being cooked simultaneously?,Yes.,"Yes, there are two dishes being cooked simultaneously on the stove.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
63,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cook wearing any protective gloves in the video?,No.,"Yes, the cook is wearing red nail polish in the video.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
64,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video capture the addition of toppings to the shawarma?,No.,"Yes, the video captures the addition of toppings to the shawarma, as the person adds the toppings to the rolled-up wraps on the counter.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
65,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the mobile phone operated before rolling sauce in flat breads?,No,"Yes, the mobile phone is operated before rolling sauce in flat breads.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
66,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut the tomatoes before preparing the shawarma?,Yes,"Yes, you should cut the tomatoes before preparing the shawarma.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
67,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the shawarma prepared before cutting tomatoes?,No,"Yes, the shawarma is prepared before cutting tomatoes by placing the sliced tomatoes on a cutting board and then adding them to the shawarma wrap.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
68,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I roll sauce in flat breads after cutting tomatoes?,Yes,"Yes, you roll sauce in flat breads after cutting tomatoes.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
69,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the mobile phone operated after preparing the shawarma?,Yes,"Yes, the mobile phone is placed on the counter after the shawarma is prepared.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
70,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What action occurs just before I operated the mobile phone?,Rolling sauce in flat breads,"Just before I operated the mobile phone, the person is seen holding a fork and a knife, preparing to cut the vegetables.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
71,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What do I do before cutting the tomatoes?,"Nothing, it is the first action.","Before cutting the tomatoes, you should chop the green onions and garlic into small pieces.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
72,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before preparing the shawarma?,Operating the mobile phone,"Just before preparing the shawarma, the person is seen holding a white bowl filled with chopped green onions and garlic, and is about to add them to the shawarma wrap.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
73,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, did I open the kitchen drawers before cutting vegetables?",No,"Yes, you opened the kitchen drawers before cutting vegetables.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
74,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the cooking of shawarma happen before regulating the cooker's heat?,Yes,"Yes, the cooking of shawarma happens before regulating the cooker's heat.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
75,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, is the mobile phone operated after the sauce is rolled in flatbreads?",Yes,"Yes, the mobile phone is operated after the sauce is rolled in flatbreads.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
76,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is heat regulation done before cutting tomatoes with a knife?,No,"Yes, the person is seen holding a knife and a bowl of chopped tomatoes, indicating that heat regulation has been done before cutting the tomatoes.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
77,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video sequence, what do I do before cooking shawarma?",Cut vegetables,"Before cooking shawarma, you first prepare the filling by mixing the ingredients in a bowl.",What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
78,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Describe the setting shown in the video clip.,A kitchen where shawarma is being prepared.,"The video shows a kitchen setting where a person is preparing a meal involving tortillas, meat, and a sauce. The kitchen counter is cluttered with various ingredients and utensils, and the person is seen handling tortillas, meat, and a sauce. The scene includes a red spatula, a bowl of chopped vegetables, and a cutting board with a knife. The person is also seen holding a smartphone, possibly to take a photo or video of the cooking process.",Scene Summary,no,2,"{""correct"": ""no"", ""score"": 2}"
79,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is happening in these new frames?,Shawarma is being filled with ingredients.,"In these new frames, a person is preparing a dish that involves rolling tortillas filled with a mixture of meat and vegetables, and then cooking them in a pan. The person is using a spatula to stir the filling, and there are various ingredients and utensils on the counter, including a bowl of shredded cheese and a container of tortillas.",Action Caption,no,1,"{""correct"": ""no"", ""score"": 1}"
80,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person in the video making a meal?,Yes.,Yes,Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
81,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the kitchen the main location in these frames?,Yes.,"Yes, the kitchen is the main location in these frames, as it is the setting where the cooking process is taking place.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
82,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video capture the moment of grilling meat for the shawarma?,No.,"No, the video does not capture the moment of grilling meat for the shawarma. The focus is on the preparation of the shawarma wraps and the cooking process.",Whether Something Happened(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
83,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Are spices being added to the food in this clip?,No.,"Yes, spices are being added to the food in the pan on the stove.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
84,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, is the shawarma filling added to the bread before wrapping it?",Yes,"Yes, the shawarma filling is added to the bread before wrapping it.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
85,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the chopping of vegetables occur before heating the pan?,No,"No, the chopping of vegetables occurs after the pan is heated.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
86,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the stove turned off before removing the pan from heat?,Yes,"Yes, the stove is turned off before removing the pan from heat.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
87,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, is the bread placed on the pan before adding fillings?",Yes,"Yes, the bread is placed on the pan before adding fillings.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
88,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the shawarma served before adding sauce?,No,"Yes, the shawarma is served before adding sauce, as indicated by the person holding a spatula and placing the rolled-up shawarma onto the tray.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
89,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What do I do before adding the shawarma filling to the bread?,Chop vegetables,"Before adding the shawarma filling to the bread, you should first roll the tortilla and place it on the tray.",What event order,no,0,"{""correct"": ""no"", ""score"": 0}"
90,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done before turning off the stove?,Cook shawarma,"Before turning off the stove, the person is seen holding a red spatula and stirring the filling in the pan.",What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
91,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the immediate step before serving the shawarma?,Add sauce,The immediate step before serving the shawarma is spreading the meat mixture onto the wrap.,What event order,no,1,"{""correct"": ""no"", ""score"": 1}"
92,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, is the sauce added to the flat bread before cutting the tomatoes?",No,"No, the sauce is not added to the flat bread before cutting the tomatoes.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
93,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the person operate the mobile phone after rolling the sauce in the flat breads?,Yes,"Yes, the person operates the mobile phone after rolling the sauce in the flat breads.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
94,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the shawarma prepared before the tomatoes are cut with a knife?,Yes,"Yes, the shawarma is prepared before the tomatoes are cut with a knife.",Order Judging(Y/N),yes,5,"{""correct"": ""yes"", ""score"": 5}"
95,9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, does rolling the sauce happen before the shawarma preparation?",No,"No, the sauce is added to the shawarma before the shawarma preparation.",Order Judging(Y/N),no,2,"{""correct"": ""no"", ""score"": 2}"
96,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flat bread used before operating the mobile phone?,Yes,"No, the flat bread is not used before operating the mobile phone.",Order Judging(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
97,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is portrayed in the latest clip?,A kitchen setting.,"The latest clip portrays a kitchen setting with a Christmas tree in the background, indicating a festive atmosphere.",Scene Summary,yes,5,"{""correct"": ""yes"", ""score"": 5}"
98,9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is featured in the frame?,Preparing shawarma.,"The activity featured in the frame is the preparation of a dish, specifically making tortillas.",Scene Summary,no,1,"{""correct"": ""no"", ""score"": 1}"
99,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the shawarma preparation process completed in the clip?,No.,"Yes, the shawarma preparation process is completed in the clip, as the person is holding the shawarma and appears to be in the process of adding the final touches to it.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
100,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there more than one person visible in the kitchen?,No.,"Yes, there is another person visible in the kitchen, partially visible on the right side of the frame.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
101,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking appliances being used?,No.,"Yes, the clip shows a person using a microwave to heat a bowl of food.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
102,9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there any sign of food already cooked in the scene?,No.,"Yes, there is a bowl of cooked tortillas visible in the background, suggesting that the food preparation is ongoing.",Whether Something Happened(Y/N),no,0,"{""correct"": ""no"", ""score"": 0}"
